time,1,smooth
2022-01-01 00:00:00,60.39,
2022-01-01 00:00:01,60.18,
2022-01-01 00:00:02,60.5,
2022-01-01 00:00:03,61.2,
2022-01-01 00:00:04,61.92,
2022-01-01 00:00:05,62.37,
2022-01-01 00:00:06,62.41,
2022-01-01 00:00:07,62.1,
2022-01-01 00:00:08,61.58,
2022-01-01 00:00:09,61.06,
2022-01-01 00:00:10,60.65,
2022-01-01 00:00:11,60.37,
2022-01-01 00:00:12,60.13,
2022-01-01 00:00:13,59.88,
2022-01-01 00:00:14,59.55,
2022-01-01 00:00:15,59.13,
2022-01-01 00:00:16,58.69,
2022-01-01 00:00:17,58.23,
2022-01-01 00:00:18,57.76,
2022-01-01 00:00:19,57.3,
2022-01-01 00:00:20,56.86,
2022-01-01 00:00:21,56.41,
2022-01-01 00:00:22,55.95,
2022-01-01 00:00:23,55.47,
2022-01-01 00:00:24,55.01,
2022-01-01 00:00:25,54.56,
2022-01-01 00:00:26,54.13,
2022-01-01 00:00:27,53.7,
2022-01-01 00:00:28,53.27,
2022-01-01 00:00:29,52.85,
2022-01-01 00:00:30,52.45,
2022-01-01 00:00:31,52.13,
2022-01-01 00:00:32,51.88,
2022-01-01 00:00:33,51.66,
2022-01-01 00:00:34,51.39,
2022-01-01 00:00:35,51.05,
2022-01-01 00:00:36,50.68,
2022-01-01 00:00:37,50.35,
2022-01-01 00:00:38,50.08,
2022-01-01 00:00:39,49.9,
2022-01-01 00:00:40,49.83,
2022-01-01 00:00:41,49.81,
2022-01-01 00:00:42,49.77,
2022-01-01 00:00:43,49.63,
2022-01-01 00:00:44,49.42,
2022-01-01 00:00:45,49.19,
2022-01-01 00:00:46,48.95,
2022-01-01 00:00:47,48.74,
2022-01-01 00:00:48,48.56,
2022-01-01 00:00:49,48.41,
2022-01-01 00:00:50,48.25,
2022-01-01 00:00:51,48.07,
2022-01-01 00:00:52,47.8,
2022-01-01 00:00:53,47.43,
2022-01-01 00:00:54,47.03,
2022-01-01 00:00:55,46.8,
2022-01-01 00:00:56,46.85,
2022-01-01 00:00:57,47.35,
2022-01-01 00:00:58,49.1,
2022-01-01 00:00:59,53.01,
2022-01-01 00:01:00,59.0,
2022-01-01 00:01:01,65.45,
2022-01-01 00:01:02,70.41,
2022-01-01 00:01:03,72.82,
2022-01-01 00:01:04,72.95,
2022-01-01 00:01:05,71.96,
2022-01-01 00:01:06,71.09,
2022-01-01 00:01:07,71.12,
2022-01-01 00:01:08,72.12,
2022-01-01 00:01:09,73.59,
2022-01-01 00:01:10,74.92,
2022-01-01 00:01:11,75.68,
2022-01-01 00:01:12,75.74,
2022-01-01 00:01:13,75.25,
2022-01-01 00:01:14,74.5,
2022-01-01 00:01:15,73.71,
2022-01-01 00:01:16,73.0,
2022-01-01 00:01:17,72.33,
2022-01-01 00:01:18,71.64,
2022-01-01 00:01:19,70.88,
2022-01-01 00:01:20,70.04,
2022-01-01 00:01:21,69.13,
2022-01-01 00:01:22,68.19,
2022-01-01 00:01:23,67.28,
2022-01-01 00:01:24,66.45,
2022-01-01 00:01:25,65.69,
2022-01-01 00:01:26,65.0,
2022-01-01 00:01:27,64.36,
2022-01-01 00:01:28,63.75,
2022-01-01 00:01:29,63.16,
2022-01-01 00:01:30,62.54,
2022-01-01 00:01:31,61.83,
2022-01-01 00:01:32,60.89,
2022-01-01 00:01:33,59.55,
2022-01-01 00:01:34,57.87,
2022-01-01 00:01:35,56.54,
2022-01-01 00:01:36,56.56,
2022-01-01 00:01:37,58.02,
2022-01-01 00:01:38,60.09,
2022-01-01 00:01:39,61.77,
2022-01-01 00:01:40,62.46,
2022-01-01 00:01:41,62.16,
2022-01-01 00:01:42,61.35,
2022-01-01 00:01:43,60.64,
2022-01-01 00:01:44,60.41,
2022-01-01 00:01:45,60.73,
2022-01-01 00:01:46,61.4,
2022-01-01 00:01:47,62.11,
2022-01-01 00:01:48,62.6,
2022-01-01 00:01:49,62.71,
2022-01-01 00:01:50,62.47,
2022-01-01 00:01:51,62.01,
2022-01-01 00:01:52,61.49,
2022-01-01 00:01:53,61.04,
2022-01-01 00:01:54,60.68,
2022-01-01 00:01:55,60.39,
2022-01-01 00:01:56,60.09,
2022-01-01 00:01:57,59.76,
2022-01-01 00:01:58,59.36,
2022-01-01 00:01:59,58.9,
2022-01-01 00:02:00,58.37,
2022-01-01 00:02:01,57.85,
2022-01-01 00:02:02,57.35,
2022-01-01 00:02:03,56.87,
2022-01-01 00:02:04,56.41,
2022-01-01 00:02:05,55.93,
2022-01-01 00:02:06,55.44,
2022-01-01 00:02:07,54.93,
2022-01-01 00:02:08,54.41,
2022-01-01 00:02:09,53.94,
2022-01-01 00:02:10,53.52,
2022-01-01 00:02:11,53.18,
2022-01-01 00:02:12,52.83,
2022-01-01 00:02:13,52.51,
2022-01-01 00:02:14,52.15,
2022-01-01 00:02:15,51.79,
2022-01-01 00:02:16,51.44,
2022-01-01 00:02:17,51.12,
2022-01-01 00:02:18,50.85,
2022-01-01 00:02:19,50.63,
2022-01-01 00:02:20,50.42,
2022-01-01 00:02:21,50.24,
2022-01-01 00:02:22,50.08,
2022-01-01 00:02:23,49.95,
2022-01-01 00:02:24,49.86,
2022-01-01 00:02:25,49.77,
2022-01-01 00:02:26,49.66,
2022-01-01 00:02:27,49.51,
2022-01-01 00:02:28,49.31,
2022-01-01 00:02:29,49.05,
2022-01-01 00:02:30,48.81,58.8619
2022-01-01 00:02:31,48.64,58.844166666666666
2022-01-01 00:02:32,48.5,58.833400000000005
2022-01-01 00:02:33,48.35,58.82716666666667
2022-01-01 00:02:34,48.14,58.82146666666666
2022-01-01 00:02:35,47.83,58.813266666666664
2022-01-01 00:02:36,47.44,58.80153333333333
2022-01-01 00:02:37,47.1,58.787299999999995
2022-01-01 00:02:38,47.0,58.7729
2022-01-01 00:02:39,47.21,58.76093333333333
2022-01-01 00:02:40,47.99,58.75286666666667
2022-01-01 00:02:41,50.29,58.74889999999999
2022-01-01 00:02:42,54.77,58.7481
2022-01-01 00:02:43,60.89,58.749133333333326
2022-01-01 00:02:44,66.83,58.750766666666664
2022-01-01 00:02:45,70.94,58.7523
2022-01-01 00:02:46,72.58,58.7537
2022-01-01 00:02:47,72.31,58.755266666666664
2022-01-01 00:02:48,71.32,58.7575
2022-01-01 00:02:49,70.68,58.760600000000004
2022-01-01 00:02:50,70.93,58.76443333333333
2022-01-01 00:02:51,72.0,58.7687
2022-01-01 00:02:52,73.4,58.77306666666667
2022-01-01 00:02:53,74.58,58.777433333333335
2022-01-01 00:02:54,75.17,58.781800000000004
2022-01-01 00:02:55,75.13,58.7862
2022-01-01 00:02:56,74.58,58.79076666666666
2022-01-01 00:02:57,73.77,58.79549999999999
2022-01-01 00:02:58,72.91,58.80026666666666
2022-01-01 00:02:59,72.15,58.80496666666667
2022-01-01 00:03:00,71.44,58.809466666666665
2022-01-01 00:03:01,70.68,58.81366666666666
2022-01-01 00:03:02,69.83,58.81736666666668
2022-01-01 00:03:03,68.81,58.8204
2022-01-01 00:03:04,67.7,58.82283333333334
2022-01-01 00:03:05,66.55,58.824966666666676
2022-01-01 00:03:06,65.51,58.8271
2022-01-01 00:03:07,64.66,58.829333333333345
2022-01-01 00:03:08,63.97,58.831500000000005
2022-01-01 00:03:09,63.41,58.83343333333334
2022-01-01 00:03:10,62.84,58.83493333333333
2022-01-01 00:03:11,62.23,58.83566666666667
2022-01-01 00:03:12,61.55,58.83566666666667
2022-01-01 00:03:13,60.8,58.83520000000001
2022-01-01 00:03:14,59.95,58.8347
2022-01-01 00:03:15,58.85,58.83443333333334
2022-01-01 00:03:16,57.33,58.83436666666666
2022-01-01 00:03:17,55.77,58.8344
2022-01-01 00:03:18,55.13,58.83433333333333
2022-01-01 00:03:19,55.93,58.8341
2022-01-01 00:03:20,57.73,58.83356666666666
2022-01-01 00:03:21,59.6,58.832899999999995
2022-01-01 00:03:22,60.76,58.8322
